code ,2015,2016,2017,2018,2019,2020,2021,2022
1,0.284577363,0.190691838,0.702972991,0.383204999,0.41374261,0.324369518,0.318638539,0.436218184
2,0.199899118,0.173195713,0.173870069,0.177076889,0.164058424,0.210124643,0.199132495,0.215366494
3,0.448734448,0.357063801,0.379788682,0.420296858,0.457354831,0.308646154,0.438399551,0.426035786
4,0.330462435,0.324397067,0.261113363,0.255181248,0.481981176,0.317053902,0.215819991,0.239960462
5,0.839422297,0.721814111,0.449597444,0.287486676,0.716975313,0.64887333,0.321338817,0.442997285
6,0.491331746,0.383539613,0.440082612,0.37407531,0.244045445,0.155182836,0.375157774,0.37279813
7,0.304897527,0.297509006,0.37951864,0.347485694,0.302975063,0.319706689,0.162836142,0.208504184
8,0.380217583,0.54088641,0.522483116,0.60647618,0.632970145,0.366029932,0.478233244,0.503351967
9,0.43391321,0.496226496,0.374338876,0.547502871,0.554515572,0.450150696,0.425268549,0.241487361
10,0.316324287,0.326555911,0.29551242,0.38491482,0.335049032,0.296526986,0.53837586,0.266222658
11,0.302434646,0.345051021,0.200221174,0.207275254,0.220841658,0.243220706,0.198549692,0.220944783
12,0.497035924,0.294211366,0.158790017,0.608296733,0.481054683,0.378602727,0.480892861,0.490294109
13,0.353500642,0.310090058,0.345726175,0.36682152,0.323694743,0.336271957,0.119047869,0.284156999
14,0.3029642,0.10945067,0.13121603,0.08286334,1,1,0.13059098,0.71740826
15,0.352192673,0.31265024,0.435033589,0.448184831,0.47296244,0.199387977,0.576205993,0.259927428
16,0.322708834,0.327360239,0.302268983,0.375599153,0.370960167,0.361219809,0.255537147,0.286785182
17,0.407734267,0.40689721,0.248998187,0.299633285,0.259253452,0.28995095,0.552119105,0.469985365
18,0.215389354,0.130288605,0.178486857,0.175196556,0.168858218,0.133622449,0.156574837,0.21202095
19,0.23944951,0.366696649,0.33454653,0.39020821,0.36892208,0.421219116,0.471407201,0.421006755
20,0.557961401,0.494426925,0.424422983,0.524251514,0.433531101,0.461624429,0.370874235,0.383054456
21,0.22047228,0.225706433,0.212617812,0.218386251,0.206783755,0.363151356,0.338322849,0.240650963
22,0.244263837,0.241237495,0.264474838,0.286337936,0.212671941,0.197752222,0.19450107,0.346216212
23,0.552289091,0.261392775,0.460309455,0.408949832,0.352362398,0.386455916,0.172904879,0.233679455
24,0.428414532,0.395824934,0.449358765,0.478309291,0.449659237,0.588110578,0.568063289,0.548086117
25,0.446282152,0.245119798,0.241151874,0.19359264,0.194185051,0.197879647,0.230081538,0.273899767
26,0.509682163,0.421720666,0.368287879,0.732396418,0.962766243,0.537869062,0.806268633,0.392507412
27,0.35125868,0.40290002,0.29847374,0.26063758,0.26052949,0.26995327,0.23852911,0.22006896
28,0.385869873,0.421298455,0.411510146,0.452866048,0.444178529,0.49578907,0.532264164,0.523008268
29,0.31200686,0.3907858,0.32263443,0.27353333,0.25918737,0.36204903,0.4906933,0.59830048
30,0.3873675,0.42421233,0.39845901,0.3819748,0.46286995,0.52654892,0.4886728,0.40944221
31,0.47153322,0.497100675,0.44353769,0.402485178,0.383043815,0.339687123,0.36564874,0.28553277
32,0.305953758,0.218342003,0.216412354,0.288127338,0.277054976,0.249960382,0.269490974,0.296322456
33,0.35373335,0.333787225,0.227806886,0.265012236,0.230717956,0.308941691,0.2309853,0.231123587
34,0.307327981,0.346102224,0.294077976,0.221994337,0.215610904,0.195879567,0.21973783,0.210662214
35,0.234204996,0.265340215,0.217390232,0.231713442,0.328387299,0.197177054,0.194979555,0.195156406
36,0.489390465,0.395948311,0.440380791,0.573581335,0.618494557,0.43754222,0.4946229,0.505416037
37,0.278918264,0.283759662,0.218122718,0.324139047,0.21784615,0.33968755,0.141725262,0.305754313
38,0.386488524,0.293981484,0.264295611,0.316028898,0.318227247,0.283887555,0.241438455,0.292210252
39,0.29221981,0.25192699,0.27923873,0.26067996,0.31206581,0.29342284,0.30293633,0.41941867
40,0.303563423,0.333176873,0.278240415,0.330236301,0.344305645,0.406713602,0.453540419,0.58320227
41,0.594061937,0.562127563,0.93084325,0.92784649,0.901568348,0.887299786,0.908338277,0.790141783
42,0.47941067,0.40038236,0.37081061,0.50489692,0.42330344,0.49684336,0.49284357,0.59104702
43,0.13059098,1,0.13059098,0.13059098,0,0,0.69717011,0
44,0.33170136,0.26673295,0.25206366,0.31239597,0.33275072,0.35509959,0.30757614,0.38906696
45,0.70566345,0.54844107,0.68984298,0.56822747,0.43385998,0.47340495,0.26150879,0.23623313
46,0.181498946,0.102233598,0.150123413,0.211371976,0.268157871,0.770247699,0.693335299,0.250919804
47,0.41179579,0.40171404,0.4976989,0.29186488,0.20621254,0.50511891,0.28609649,0.43313203
48,0.238508062,0.239684514,0.199360032,0.191202609,0.203768179,0.204773275,0.166919993,0.180402904
49,0.60356559,0.654493015,0.9394823,0.973458323,0.966990574,0.959801477,0.7879014,0.296133357
50,0.69770028,0.18290181,1,1,1,1,1,0.67748831
51,0.493720936,0.436169683,0.873426424,0.773769578,0.604719551,0.590949554,0.58770881,0.84701209
52,0.780687973,0.771001902,0.717637189,0.56378692,0.588027066,0.580779301,0.630759253,0.499558543
53,0.709330075,0.237674353,0.238824309,0.21166994,0.240243667,0.829614517,0.835461583,0.536295107
54,0.660966787,0.710004051,0.789765718,0.643161541,0.382110978,0.360619219,0.57666664,0.563050069
55,0.475256298,0.418637829,0.485648811,0.805533248,0.952383481,0.962588131,0.976404613,0.919752065
56,0.65053571,0.77443217,0.73474111,0.70803744,0.83062174,0.79009258,0.70233558,0.79134985
57,0.275511486,0.280960922,0.273350891,0.222112581,0.283078657,0.261185953,0.251715076,0.253092736
58,0.63906621,0.6294744,0.44236222,0.88374216,0.69727523,0.69565916,0.71920676,0.65931691
59,0.87956869,0.38890112,0.42139782,0.3676855,0.56819733,0.63443492,0.4790951,0.67597776
60,0.40697864,0.71957285,0.6024812,0.44786187,0.48276909,0.54380308,0.595938,0.86945087
61,0.30372033,0.32045894,0.28382985,0.29710058,0.28366689,0.34659269,0.3807461,0.39382247
62,0.36622886,0.3089323,0.39050768,0.33099719,0.30844104,0.30955119,0.30543783,0.46506954
63,0.246096755,0.276305817,0.290573654,0.272316145,0.276093328,0.279024576,0.32649488,0.334161859
64,0.466826838,0.419269555,0.385237581,0.345242637,0.400574431,0.529234213,0.50535501,0.544473917
65,0.34119315,0.432494514,0.359385127,0.421692691,0.403246255,0.319293062,0.383543951,0.41545459
66,0.716785175,0.733131805,0.580942143,0.642110238,0.761972826,0.885379515,0.742668717,0.682417331
67,0.390290748,0.443775221,0.529987305,0.502039982,0.489592418,0.613775946,0.473232866,0.446898348
68,0.324616787,0.395052315,0.31732151,0.398885439,0.401334769,0.48918025,0.376032154,0.437676364
69,0.410579019,0.455014959,0.472065515,0.524725078,0.628930257,0.606440949,0.427275662,0.438074576
70,0.335129231,0.323950443,0.330999954,0.321150843,0.378175992,0.269904821,0.316169802,0.436477933
71,0.333455334,0.445633413,0.554658513,0.521830007,0.648572049,0.249287573,0.550358081,0.375903242
72,0.447273139,0.391502673,0.399203161,0.524233649,0.575821385,0.500835497,0.450584837,0.549964752
73,0.465539568,0.42364687,0.430320515,0.505240034,0.522019934,0.54027486,0.556776746,0.610950252
74,0.397017931,0.404250496,0.405723365,0.399040274,0.61037775,0.511111396,0.560844351,0.400846212
75,0.384304661,0.480878547,0.283666354,0.664893468,0.318703612,0.230138936,0.239881747,0.426185814
76,0.2728552,0.34261827,0.23461555,0.35202038,0.42113954,0.50892463,0.34688062,0.63912596
78,0.685656773,0.487197813,0.490131352,0.426051491,0.353441758,0.187828689,0.559915621,0.597526183
79,0.592509719,0.298136383,0.259495382,0.448872256,0.500017639,0.57403292,0.347074091,0.175993881
80,0.261576985,0.188612637,0.472056241,0.260534902,0.652897267,0.385907616,0.67967785,0.155689489
81,0.330510507,0.241625053,0.154700538,0.212074079,0.701241545,0.984160624,0.566719889,0.513625853
82,0.316544541,0.337016159,0.412335411,0.470483741,0.471916536,0.41634287,0.340743347,0.375548784
83,0.311848184,0.357548563,0.303764747,0.36353785,0.437635255,0.382200294,0.348313883,0.47389015
84,0.295365219,0.302187648,0.315615215,0.372137577,0.430528678,0.441046506,0.425017156,0.564803311
85,0.388131944,0.384675786,0.424773448,0.499762916,0.597968049,0.618770478,0.535498802,0.627496935
86,0.435844328,0.368537263,0.302339927,0.661727978,0.594743479,0.619574567,0.766221545,0.644431821
87,0.247785227,0.27663216,0.290527439,0.350197451,0.339623124,0.315365688,0.314954395,0.361077022
88,0.324241449,0.453485754,0.440792212,0.706953932,0.478114049,0.917565188,0.656307174,0.37668225
89,0.299626608,0.338161493,0.194278743,0.544267768,0.449233512,0.5362378,0.574153107,0.545515975
90,0.265458732,0.281441862,0.232569516,0.345850515,0.277384983,0.329541755,0.25945344,0.372179037
91,0.537303989,0.682910558,0.583620224,0.495597949,0.60750262,0.745732579,0.568236105,0.592957693
92,0.329379623,0.469561427,0.527114,0.32448194,0.408525927,0.27086588,0.300265452,0.416990645
93,0.652473913,0.556261882,0.968343289,0.375048253,0.574689162,0.997887882,0.307228297,0.70859571
94,0.37005776,0.34331166,0.33820236,0.45254548,0.4869309,0.4804018,0.45065732,0.52870227
95,0.441891175,0.388594028,0.473781489,0.536566268,0.530591185,0.470601597,0.479464837,0.505666516
96,0.556219697,0.627552337,0.651561174,0.614492068,0.463118394,0.557430573,0.546279428,0.537016472
97,0.451933745,0.292537429,0.208735109,0.242056979,0.111854869,0.206165453,0.325429552,0.355673871
99,0,0,0,0,0,0,0,1