Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,2331,2086,1971,931,773
Germany,435,294,88,451,238
India,385,318,119,211,230
United States of America,177,240,236,66,201
"Hong Kong, China",217,67,63,0,38
China,95,6,18,47,34
France,15,18,29,18,28
Belgium,0,93,308,130,4
United Arab Emirates,0,0,0,0,1
Dominican Republic,27,0,0,0,0
"Iran, Islamic Republic of",169,0,169,0,0
Ireland,649,1048,941,0,0
Netherlands,161,0,0,3,0
Ukraine,0,0,0,4,0
HHI,0.133236716,0.316928934,0.295141744,0.319228123,0.236735326