Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,432,718,987,577,1090,2413,1253,2143,2502,4942,6883,6387,5854,4354,3880,5747,5103,4113,6429,7413
2,51,58,408,175,739,1367,1439,2556,6220,12290,5260,6157,5562,7686,8632,8796,25790,24635,27824,32460
3,3432,2637,4677,6017,7734,4562,5464,6887,15847,31155,50088,77310,122957,97643,126989,111056,113721,88756,124809,143486
4,4752,5102,5674,7469,26450,12981,14044,17844,18094,25180,31867,29086,24334,19833,24632,36477,19717,16322,24877,34552
5,461,693,606,652,1186,1736,1820,1695,1979,2424,2429,2120,2247,2646,3886,4018,3167,1781,1848,2754
6,490,701,625,826,652,746,702,574,717,580,550,673,1217,737,911,2096,2666,2452,2537,2833
7,24667,6231,5657,13356,5344,4965,4462,5111,7200,9478,9765,12654,11844,13574,11889,10718,9792,7130,4676,4012
8,3930,15605,4476,10906,4625,5862,6732,9735,10797,12801,15106,17379,17323,17832,12894,15860,15657,9709,10587,15480
9,2299,3966,2204,3264,2715,3395,4341,4389,5689,6474,7458,8084,6975,7412,8447,8779,7886,6189,7898,6350
10,74649,31364,41805,72671,16595,31313,34388,8214,14359,11878,16488,10800,29263,9557,33274,27519,34849,40337,45046,36592
11,19563,8594,6365,12049,10154,9343,10225,7444,7552,21312,12640,8240,15256,12338,11515,7367,5255,3959,5943,9889
12,6012,2775,4878,3352,2711,30749,6164,3818,6910,58952,13126,11289,9777,8010,5466,7509,6589,12854,11319,11951
13,174,142,306,363,713,2514,1911,912,1632,895,1708,934,1238,979,945,1262,1473,1726,1138,1640
14,6,9,1,11,7,17,13,14,5,58,67,29,4,6,1,7,9,2,10,4
15,37851,47226,47296,54909,72835,97110,82893,90057,133170,137587,110585,105743,85362,92633,76461,77478,101559,109902,179776,168221
16,1367,1447,785,1130,1148,1249,1222,1955,2007,2864,2935,2849,2745,1908,1713,1311,2267,6053,2124,3446
17,4518,3225,6308,7165,6799,8472,5621,6150,9406,10676,12032,9222,8914,7880,9109,13372,10148,9765,15220,30561
18,1226,1375,1585,2254,2235,3846,3372,4860,6186,6610,6831,7632,6870,5814,6740,8182,6594,5935,7308,7839
19,4883,4859,6507,10829,9682,14245,13213,16913,21405,27163,28872,31655,30356,26037,31959,34288,32089,29068,35649,39070
20,4998,4766,6734,9524,9915,13717,12463,18125,20614,23711,26434,28842,25212,20899,26792,30000,23304,16278,22649,22853
21,7635,5627,7147,7720,10120,10458,12853,19699,27302,27054,31151,34481,29961,28296,34353,35179,31260,28960,33647,39541
22,2123,2321,3506,6640,10013,13609,16147,16149,29238,36746,35374,38129,36091,38796,42921,41317,53570,38300,53406,59071
23,2661,5157,3455,3327,4466,13735,8496,10362,21243,24700,19519,20961,25205,24325,21263,26085,24719,23575,32426,39338
24,1078,1070,373,4202,6968,6182,7457,5532,7324,9260,10900,10051,9225,6646,6588,4302,1651,1407,2565,1075
25,37473,39435,38018,43446,67868,129630,40838,41880,98034,134400,114031,142101,124536,106579,143399,196052,180522,110882,147822,425256
26,6454,15247,21358,31741,137406,426954,344545,841439,942291,1038564,1561660,1437249,658402,684622,1027575,1281279,159649,73850,211358,377787
27,131783,238847,280408,457830,498333,815699,552994,618095,507644,935294,1083319,1424204,1734150,1549758,1289152,1350373,1256607,503920,722667,571563
28,43089,31000,37672,57681,56717,60774,62823,232595,313243,292340,381342,148988,429986,329612,849951,208999,176541,88911,180329,438779
29,24163,27052,31304,30494,35549,42344,37661,45789,48255,44886,47399,65638,57439,47328,90184,109661,72914,74140,97486,97861
30,34437,42096,66783,67938,95698,159448,155772,115000,137178,203864,533820,220114,249263,246485,172905,272554,205727,270788,362754,408742
31,67769,85395,147341,99031,116451,204063,197832,190841,323167,304257,383081,334552,388884,286203,547281,440569,343852,415671,438397,692084
32,7078,6672,8311,8985,11454,14025,13887,16003,21568,24258,22806,26901,21314,19862,23855,29163,21874,18257,26619,32511
33,7945,12169,12788,10819,16879,18301,17749,25846,28836,38083,40717,40065,43667,40367,39533,50396,54100,46284,63755,70386
34,19863,14815,15822,15258,18100,26905,28590,33158,44414,49339,56707,61331,57236,44209,57932,62284,50467,41064,44007,92202
35,2117,2521,2809,2633,3432,2993,3037,4520,6193,6729,7657,8468,8411,7315,9852,11168,12277,9985,14208,19194
36,11480,16520,16299,17649,23491,29562,23005,23744,29433,38107,68763,27234,29856,35052,31397,29995,26959,23055,25962,28176
37,2163,2184,2879,3070,2906,4021,3150,3572,4169,6161,7579,5762,2979,2277,3066,2179,2684,824,2076,726
38,30757,36551,43764,61283,69684,94975,81295,114755,132243,202450,184862,144718,248735,160198,182577,229088,228012,250579,298515,373476
39,64151,89859,98671,97432,122663,134698,119427,156553,224618,261231,280364,265639,240933,197768,232736,320729,305223,291171,402768,544566
40,33925,43373,45756,55419,71575,77912,68669,89223,122057,173327,210399,158885,289676,109224,151121,157449,136021,136817,189929,215487
41,22,58,208,102,172,210,17,55,47,78,44,292,60,12,10,84,15,21,18,5
42,2013,2429,2801,3077,3428,3577,3240,4143,4302,5218,12131,6278,4882,4331,4014,4292,4302,2492,4134,4962
43,7,2,8,25,40,52,15,19,6,14,24,31,8,5,19,11,2,15,11,8
44,3757,1990,9249,3540,5261,6942,8022,11893,13815,27883,25915,28919,31110,31792,18334,21013,20050,14559,18783,21559
45,12,50,26,27,24,208,9,43,61,146,106,49,29,30,32,50,44,16,13,17
46,30,32,19,41,73,60,133,85,104,126,81,142,116,64,80,105,64,55,87,73
47,363,281,451,335,175,97,118,83,181,97,363,459,394,279,610,492,863,598,3287,7927
48,38611,36640,43380,43690,42996,55263,56418,63843,77297,93212,91462,90761,93012,73248,74536,96080,88317,74557,100156,119783
49,68150,275469,251808,38966,23263,42967,45953,22147,37333,43827,51716,35927,32918,27997,40022,39664,41703,24376,21441,29674
50,24,14,9,9,131,42,50,42,227,66,93,139,46,118,938,306,364,314,337,19
51,27,40,386,87,112,90,141,58,72,186,144,67,122,24,16,37,19,5,62,37
52,8949,7571,9010,4891,2905,1307,1226,1720,1241,1985,1431,1434,1466,1265,1633,2153,1728,1384,1338,1803
53,500,991,532,753,63,670,1228,652,494,2048,2547,665,374,722,1783,531,592,261,670,1413
54,2091,2152,2160,1341,2499,2442,2022,1939,2795,1901,1119,1746,1755,2219,1968,2094,3032,2859,5285,4689
55,5227,9857,11723,7158,7021,7825,7764,8532,10838,13553,16030,13119,10714,9574,12694,15844,15741,15623,20262,27576
56,1685,1463,1889,3073,1930,2318,2351,3478,4120,5223,3501,6358,2592,3905,2308,6205,2849,2734,5479,10037
57,1486,1161,1566,1607,1564,2806,1432,1938,3399,3249,2911,2490,2011,1778,1486,2330,2124,1510,2421,2098
58,537,770,294,232,332,296,390,229,323,408,489,637,410,405,455,395,397,948,789,719
59,2323,14454,2305,2301,2495,2573,2052,3093,4791,5748,4973,3778,3206,2831,2473,3614,4863,3641,5159,5964
60,230,92,85,75,59,55,56,84,115,137,90,144,78,130,226,271,303,380,589,572
61,4328,5684,6836,6298,8221,10055,10450,13439,16249,16944,31027,27885,30795,23868,26142,28429,29037,18572,23671,22318
62,6810,7774,9995,7685,8265,8792,8330,10038,15434,16258,23134,19306,23791,15061,17008,20808,35196,43321,24313,29194
63,27763,22094,24256,28113,34826,26739,31385,36778,59339,61192,70797,64593,40831,34107,63846,54915,53300,98310,68853,96506
64,8072,10022,10909,11116,13878,15346,13657,17384,20279,24395,29722,35728,32845,24634,25796,28960,26125,16234,21861,29136
65,862,573,625,1079,1041,1034,834,920,1082,1293,1757,1617,1604,2805,2340,2378,2216,1175,1668,1409
66,624,363,471,402,460,761,557,667,891,694,1111,844,715,358,607,773,624,682,790,1091
67,69,86,1024,311,366,558,419,723,1121,976,1473,1455,1239,1291,1969,2312,2147,1562,1852,2242
68,2271,3125,3483,5758,6090,5527,5842,7596,15050,28807,33090,30601,14982,9618,11086,14306,14231,17129,16828,12912
69,13414,11226,14203,22000,27171,30531,27122,26315,36022,43125,50987,57397,42707,33671,44156,49196,54646,26947,33640,39160
70,7544,8475,9341,10975,10415,14471,18429,16599,17018,21469,29519,32946,29323,30032,35426,40578,36336,19544,23459,39877
71,1634,580,848,313,481,512,580,1233,1060,1409,1524,1745,3197,3794,3367,6947,10138,2529,2737,1277
72,46182,69579,69478,96533,132035,143865,109167,142390,205528,218853,238298,201422,180632,123430,145352,208750,196848,162516,225912,294973
73,41982,71530,77428,96398,198542,185033,117290,163076,257851,350329,562979,538782,338812,191656,272729,364751,292954,144455,191501,189163
74,1721,4418,12228,20473,39020,112504,128263,244191,211850,126607,58765,403100,113035,15029,16409,16974,21455,6616,14393,15142
75,15,9,66,67,127,67,11,67,1443,1022,156,49,16,54,240,93,169,38,28,61
76,8207,9350,11010,10006,16978,15188,11013,19272,30364,23104,60106,66744,44770,25053,25710,39134,44804,30647,47141,42834
78,834,1714,5088,6064,2557,6183,1033,1523,7573,12130,18447,542,2517,1328,2375,3922,2858,1998,3905,1792
79,899,608,2981,7906,355,179,36,308,1758,2393,2135,1672,878,30,12568,2916,2080,2180,18508,27844
80,86,213,135,128,167,270,316,441,456,870,620,747,1013,503,515,390,254,136,262,500
81,7807,3539,3329,1934,302,849,1897,908,819,1324,737,1365,1163,749,1390,4621,1262,586,18902,318
82,7816,8680,10589,12935,19309,23627,14102,23945,36986,46568,39414,32047,23921,20678,29189,31359,28065,19212,30025,25497
83,3179,4195,5375,5704,7328,9210,7161,10846,13294,17739,18618,21298,16602,12862,22220,24380,18489,30278,24636,20664
84,243194,338317,390473,630914,869249,840123,587590,865922,1276753,1507837,1817138,1483757,1262432,986193,1126431,1403482,1132707,780360,994847,1201654
85,134579,148780,191998,256863,359103,321681,208794,247586,462193,497530,625100,706221,555570,680151,443613,587892,440104,272843,310509,348785
86,4656,4192,10063,6341,15809,9038,7058,13507,12027,11352,8746,17570,21014,8732,4559,4427,2896,3228,2141,2679
87,123192,179748,222970,302532,344363,486216,279960,367199,602112,864793,879806,794171,561443,435831,479689,809979,583313,458279,707415,1026529
88,5631,3945,3831,6809,7330,6014,1942,4254,37219,217652,25978,10258,30387,10188,198985,49519,18959,3982,8388,18723
89,412,566,1007,737,1292,1988,1064,3046,2909,3625,3481,5901,3494,5140,1863,14833,768,746,1040,2603
90,17977,24417,31601,33704,39745,49057,40127,75063,76826,92569,106708,71579,82151,68247,75156,100466,89443,102198,106307,109521
91,308,322,456,313,370,418,397,935,939,545,2740,713,940,1172,1016,1189,898,433,630,632
92,468,135,118,131,232,347,319,189,378,451,334,840,3661,2574,621,524,490,1386,983,1179
93,876,556,560,592,431,1036,1058,832,2083,1402,2588,1428,1152,1050,1280,50133,12164,42131,11418,4829
94,14662,15369,23436,30682,32793,37655,31631,42819,81557,77155,105657,74047,98339,65116,63761,80750,75117,47073,61984,59927
95,1783,1977,2140,2914,3636,3858,4579,3355,5408,6754,7421,5299,7617,6505,8077,7895,7412,3967,5371,6072
96,2085,2507,3035,2875,3471,3887,3377,5102,5136,12223,14649,24674,21194,15386,22563,24588,25128,19743,20187,16329
97,254,240,115,151,131,157,307,423,296,252,366,501,510,233,193,348,327,262,358,853
99,14463,8306,7957,11859,4903,2550,2755,2441,8291,8033,5032,2848,4577,5471,6907,2775,4305,5260,6378,5993
TOTAL,1626605,2188136,2539715,3051044,3868435,5042019,3819456,5309563,7047894,8782858,10537902,9927684,8884428,7346031,8722572,9551926,7226897,5378310,7111525,9048377